Herb_id,Field_name,Field_context
37,Pinyin_name,Bohe
37,Latin_name,"Menthae Haplocalycis Herba,Herba Menthae"
37,English_name,"Mentha, Peppermint"
38,Chinese_name,北豆根
38,Pinyin_name,Beidougen
38,Latin_name,"Rhizoma Menispermi,Menispermi Rhizoma"
38,English_name,Chinese Cinquefoil
39,Chinese_name,北刘寄奴
39,Pinyin_name,Beiliujinu
39,Latin_name,Siphonostegiae Herba
39,English_name,Siphonostegiae Herba
40,Chinese_name,北沙参
40,Pinyin_name,Beishashen
40,Latin_name,"Radix Glehniae,Glehniae Radix"
40,English_name,root of Coastal Glehnia
41,Chinese_name,五味子
41,Pinyin_name,Wuweizi
41,Latin_name,Schisandrae Chinensis Fructus
41,English_name,Schisandrae Chinensis Fructus
42,Chinese_name,荜茇
42,Pinyin_name,Bibo
42,Latin_name,Piperis Longi Fructus
42,English_name,Piperis Longi Fructus
43,Chinese_name,荜澄茄
43,Pinyin_name,Bichengqie
43,Latin_name,Litseae Fructus
43,English_name,Litseae Fructus
44,Chinese_name,蓖麻子
44,Pinyin_name,Bimazi
44,Latin_name,"Semen Ricini,Ricini Semen"
44,English_name,Castor Seed
45,Chinese_name,萹蓄
45,Pinyin_name,Bianxu
45,Latin_name,Polygoni Avicularis Herba
45,English_name,all-grass of common knotgrass
46,Chinese_name,扁豆花
46,Pinyin_name,Biandouhua
46,Latin_name,Flos Dolichoris
46,English_name,flower of Hyacinth Dolichos
47,Chinese_name,槟榔
47,Pinyin_name,Binglang
47,Latin_name,"Arecae Semen,Semen Arecae"
47,English_name,areca seed
48,Chinese_name,冰片
48,Pinyin_name,Bingpian
48,Latin_name,Borneolum Syntheticum
48,English_name,Borneol
49,Chinese_name,布渣叶
49,Pinyin_name,Buzhaye
49,Latin_name,Microctis Folium
49,English_name,Microctis Folium
50,Chinese_name,蚕沙
50,Pinyin_name,Cansha
50,English_name,Bombyx Mori L.
51,Chinese_name,苍耳子
51,Pinyin_name,Cang'erzi
51,Latin_name,"Fructus Xanthii Sibirici,Xanthii Fructus"
51,English_name,fruit of Siberian Cockleblur
52,Chinese_name,苍术
52,Pinyin_name,Cangzhu
52,Latin_name,"Atractylodis Rhizoma,Rhizoma Atractylodis"
52,English_name,Rhizome of Swordlike Atractylodes
53,Chinese_name,草苁蓉
53,Pinyin_name,Caocongrong
53,English_name,Boschniakia Rossica Herba
54,Chinese_name,草果
54,Pinyin_name,Caoguo
54,Latin_name,"Tsaoko Fructus,Fructus Tsaoko"
54,English_name,Tsaoko
55,Chinese_name,草乌
55,Pinyin_name,Caowu
55,Latin_name,"Radix Aconiti Kusnezoffii,Aconiti Kusnezoffii Radix"
55,English_name,Kusnezoff Monkshood Root
56,Chinese_name,草乌叶
56,Pinyin_name,Caowuye
56,Latin_name,"Aconiti Kusnezoffii Folium,Folium Aconiti Kusnezoffii"
56,English_name,Kusnezoff Monkshood Leaf
57,Chinese_name,侧柏叶
57,Pinyin_name,Cebaiye
57,Latin_name,"Platycladi Cacumen,Cacumen Et Folium Biotae"
57,English_name,leafy twigs of Oriental Arborvitae
58,Chinese_name,柴胡
58,Pinyin_name,Chaihu
58,Latin_name,"Radix Bupleuri,Bupleuri Radix"
58,English_name,root of Chinese Thorowax
59,Chinese_name,蝉蜕
59,Pinyin_name,Chantui
59,Latin_name,"Periostracum Cicadae,Cicadae Periostracum"
59,English_name,Cicada Slough
60,Chinese_name,常山
60,Pinyin_name,Changshan
60,Latin_name,"Radix Dichroae,Dichroae Radix"
60,English_name,root of antifebrile Dichroa
61,Chinese_name,车前草
61,Pinyin_name,Cheqiancao
61,Latin_name,"Plantaginis Herba,Herba Plantaginis"
61,English_name,all-grass of Rippleseed plantain
62,Chinese_name,车前子
62,Pinyin_name,Cheqianzi
62,Latin_name,"Semen Plantaginis,Plantaginis Semen"
62,English_name,seed of Asiatic pantain
63,Chinese_name,沉香
63,Pinyin_name,Chenxiang
63,Latin_name,"Lignum Aquilariae Resitum,Aquilariae Lignum Resinatum"
63,English_name,Oily wood of Agalloch Eaglewood
64,Chinese_name,陈皮
64,Pinyin_name,Chenpi
64,Latin_name,"Citri Reticulatae Pericarpium,Pericarpium Citri Reticulatae"
64,English_name,Dried Tangerine Peel
65,Chinese_name,赤芍
65,Pinyin_name,Chishao
65,Latin_name,"Radix Paeoniae Rubra,Paeoniae Radix Rubra"
65,English_name,Red Peony root
66,Chinese_name,赤小豆
66,Pinyin_name,Chixiaodou
66,Latin_name,"Semen Phaseoli,Vignae Semen"
66,English_name,Rice Bean
67,Chinese_name,茺蔚子
67,Pinyin_name,Chongweizi
67,Latin_name,"Leonuri Fructus,Fructus Leonuri"
67,English_name,Motherwort Fruit
68,Chinese_name,臭梧桐
68,Pinyin_name,Chouwutong
68,Latin_name,Folium Clerodentri Trichotomi
68,English_name,"Glorybower leaf, Clerodendron leaf"
69,Chinese_name,楮实子
69,Pinyin_name,Chushizi
69,Latin_name,Broussonetiae Fructus
69,English_name,Broussonetiae Fructus
70,Chinese_name,川贝母
70,Pinyin_name,Chuanbeimu
70,Latin_name,"Bulbus Fritillariae Cirrhosae,Fritillariae Cirrhosae Bulbus"
70,English_name,Bulb of Tendrilleaf Fritillary
71,Chinese_name,川槿皮
71,Pinyin_name,Chuanjinpi
71,English_name,Cortex Hibisci
72,Chinese_name,川楝子
72,Pinyin_name,Chuanlianzi
72,Latin_name,"Toosendan Fructus,Fructus Meliae Toosendan"
72,English_name,Szechwan Chiberry Fruit
73,Chinese_name,川木通
73,Pinyin_name,Chuanmutong
73,Latin_name,"Caulis Clematidis Armandii,Clematidis Armandii Caulis"
73,English_name,Armand Clematis Stem
74,Chinese_name,川牛膝
74,Pinyin_name,Chuanniuxi
74,Latin_name,"Cyathulae Radix,Radix Cyathulae"
74,English_name,root of Medicil cyathula
75,Chinese_name,川射干
75,Pinyin_name,Chuanshegan
75,Latin_name,Iridis Tectori Rhizoma
75,English_name,Iridis Tectori Rhizoma
76,Chinese_name,川乌
76,Pinyin_name,Chuanwu
76,Latin_name,"Aconiti Radix,Radix Aconiti"
76,English_name,root of Common Monkshood
77,Chinese_name,川芎
77,Pinyin_name,Chuanxiong
77,Latin_name,"Chuanxiong Rhizoma,Radix Chuanxiong；Rhizoma Chuanxiong"
77,English_name,"Chuanxiong rhizome, Szechuan lovage root"
78,Chinese_name,穿山龙
78,Pinyin_name,Chuanshanlong
78,Latin_name,"Rhizoma Dioscoreae Nipponicae,Dioscoreae Nipponicae Rhizoma"
78,English_name,Ningpo Yam Rhizome 
79,Chinese_name,穿心莲
79,Pinyin_name,Chuanxinlian
79,Latin_name,"Andrographis Herba,Herba Andrographitis"
79,English_name,all-grass of Common Androgrphis
80,Chinese_name,垂盆草
80,Pinyin_name,Chuipencao
80,Latin_name,"Sedi Herba,Herba Sedi Sarmentosi"
80,English_name,all - grass of Stringy stonecrop
81,Chinese_name,椿皮
81,Pinyin_name,Chunpi
81,Latin_name,"Cortex Tooe Sinensis,Ailanthi Cortex"
81,English_name,"Ailanthus bark, Tree of heaven bark"
82,Chinese_name,葱白
82,Pinyin_name,Congbai
82,Latin_name,Bulbus Allii Fistulosi
82,English_name,"Allium bulb, Wild scallion, Chinese green onion"
83,Chinese_name,大风子
83,Pinyin_name,Dafengzi
83,English_name,Hydnocarpi Anthelminticae Semen
84,Chinese_name,大腹皮
84,Pinyin_name,Dafupi
84,Latin_name,Arecae Pericarpium
84,English_name,Areca Catechu L.
85,Chinese_name,大黄
85,Pinyin_name,Dahuang
85,Latin_name,"Radix Et Rhizoma Rhei,Rhei Radix Et Rhizoma"
85,English_name,root and rhziome of Sorrel Rhubarb
86,Chinese_name,大蓟
86,Pinyin_name,Daji
86,Latin_name,"Cirsii Japonici Herba,Herba Cirsii Japonici;Radix Cirsii Japonici;Herba Seu Radix Cirsii Japonici"
86,English_name,all-grass of Thistle
87,Chinese_name,大青叶
87,Pinyin_name,Daqingye
87,Latin_name,"Folium Isatidis,Isatidis Folium"
87,English_name,Isatis leaf
88,Chinese_name,大蒜
88,Pinyin_name,Dasuan
88,Latin_name,"Allii Sativi Bulbus,Bulbus Allii"
88,English_name,Garlic
89,Chinese_name,大血藤
89,Pinyin_name,Daxueteng
89,Latin_name,"Caulis Sargentodoxae,Sargentodoxae Caulis"
89,English_name,Stem of Sargentgloryvine
90,Chinese_name,大枣
90,Pinyin_name,Dazao
90,Latin_name,"Fructus Zizyphi Jujubae,Jujubae Fructus"
90,English_name,Jujube Chinese date
91,Chinese_name,大皂角
91,Pinyin_name,Dazaojiao
91,Latin_name,Gleditsiae Sinensis Fructus
91,English_name,Gleditsiae Fructus
92,Chinese_name,玳玳花
92,Pinyin_name,Daidaihua
92,English_name,Citrus Aurantium
93,Chinese_name,丹参
93,Pinyin_name,Danshen
93,Latin_name,"Radix Salviae Liguliobae,Salviae Miltiorrhizae
Radix Et Rhizoma"
93,English_name,root of Ligulilobe sage
94,Chinese_name,淡豆豉
94,Pinyin_name,Dandouchi
94,Latin_name,"Semen Sojae Praeparata,Sojae Semen Praeparatum"
94,English_name,Fermented Soybean
95,Chinese_name,当归
95,Pinyin_name,Danggui
95,Latin_name,"Radix Angelicae Sinensis,Angelicae Sinensis Radix"
95,English_name,root of Chinese Angelica
96,Chinese_name,党参
96,Pinyin_name,Dangshen
96,Latin_name,"Codonopsis Radix,Radix Codonopsis Pilosulae"
96,English_name,root Pilose Asiabell
97,Chinese_name,刀豆
97,Pinyin_name,Daodou
97,Latin_name,"Semen Cavaliae,Canaⅴ Aliae Semen"
